tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Immune system	B cell db	"Sec61a1,Ly6d,Smap2,Serp1,Ebf1,Siglecg,Cd22,Bank1,Sec61b,Ms4a1"		
Immune system	Pro-B cells	"CD27,IgD,CD24,PTPRC,PAX5,CD24,CD38,CD79A,DNTT,C10orf10,VPREB1,ARPP21,CD99,IGLL1,CD9,CD79B,TCL1A,IGLL5,HLA-DQA1,HLA-DQB1,VPREB3,IGLL5"		Pro-B
Immune system	Pre-B cells	"CD19,CD27,IgD,CD24,PTPRC,PAX5,CD24,CD38,CD79A,NSMCE1,PCDH9,ACSM3,CCDC191,TCL1A,CD79B,TCL1A,IGLL5,HLA-DQA1,HLA-DQB1,VPREB3,IGLL5"		Pre-B
Immune system	Naive B cells	"CD19,IgD,CD38,CD24,CD20,MS4A1,PTPRC,PAX5,CD24,CD38,CD79A,JCHAIN,SSR4,FKBP11,SEC11C,DERL3,PRDX4,IGLL5,CD79B,TCL1A,IGLL5,HLA-DQA1,HLA-DQB1,CD138,CD38,VPREB3,IGLL5"		Naive B
Immune system	Memory B cells	"CD19,CD27,IgD,CD38,CD24,CD20,MS4A1,PTPRC,PAX5,CD24,CD38,CD79A,JCHAIN,SSR4,FKBP11,SEC11C,DERL3,PRDX4,IGLL5,CD79B,TCL1A,IGLL5,HLA-DQA1,HLA-DQB1,CD138,CD38,CD27,VPREB3,IGLL5"		Memory B
Immune system	Plasma B cells	"CD27,IgD,CD38,CD24,CD20,MS4A1,PTPRC,PAX5,CD24,CD38,CD79A,JCHAIN,SSR4,FKBP11,SEC11C,DERL3,PRDX4,IGLL5,CD79B,TCL1A,IGLL5,HLA-DQA1,HLA-DQB1,CD138,CD38,VPREB3,IGLL5"	"CD20,MS4A1"	Plasma B
Immune system	Naive CD8+ T cells	"CD8,CD2,CD3D,CD3E,CD3G,CD3Z,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CD8A,CD8B,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,SELL,CCR7,GNLY,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"	"CD25,CD44,CD69,HLA-DRA,CD95"	Naive CD8+ T
Immune system	Naive CD4+ T cells	"CD4,CD2,CD3D,CD3E,CD3G,CD3Z,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,SELL,CCR7,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"	"CD25,CD44,CD69,HLA-DRA,CD95"	Naive CD4+ T
Immune system	Memory CD8+ T cells	"CD8,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CD8A,CD8B,CCR6,CD11b,CD30,CD45RO,CD6,CTLA4,IL2RA,GZMB,SELL,CCR7,GNLY,S100A4,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"		Memory CD8+ T
Immune system	Memory CD4+ T cells	"CD4,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD45RO,CD6,CTLA4,IL2RA,GZMB,SELL,CCR7,S100A4,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"		Memory CD4+ T
Immune system	Effector CD8+ T cells	"CD8,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CD8A,CD8B,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,GNLY,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"	"SELL,CCR7"	Effector CD8+ T
Immune system	Effector CD4+ T cells	"CD4,CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"	"SELL,CCR7"	Effector CD4+ T
Immune system	γδ-T cells	"CD2,CD3D,CD3E,CD3G,CD3Z,CD25,CD45RA,CD62L,CD27,CD127,FOXP3,CCR7,CD45,CCR6,CD11b,CD30,CD6,CTLA4,IL2RA,GZMB,PTPRC,TRDV2,TRGV9,TRGC1,Trac,Ltb,Cd52,Trbc2,Shisa5,Lck,Thy1,Dapl1"	"SELL,CCR7"	γδ-T
Immune system	Platelets	"CD41,CD42b,CD61,CD31,PPBP,PF4,GNG11,SDPR,CLU,CD41,CD110"		Platelets
Immune system	CD8+ NKT-like cells	"CD8,CD56,CD2,CD16,CD94,CD3D,CD3E,CD3G,CD3Z,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,GNLY,COX6A2,ZMAT4,KIR2DL4"		CD8+ NKT
Immune system	CD4+ NKT-like cells	"CD4,CD56,CD2,CD16,CD94,CD3D,CD3E,CD3G,CD3Z,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,COX6A2,ZMAT4,KIR2DL4"		CD4+ NKT
Immune system	Natural killer  cells	"CD56,CD2,CD16,CD94,NKp46,CD11b,CD161,CD314,CD69,NKG7,CD122,NKG2D,GZMB,GZMA,GZMM,FCGR3A,GNLY,COX6A2,ZMAT4,KIR2DL4,NKG7"	"CD3D,CD3E,CD3G,CD3Z,CD4,CD8"	NK
Immune system	Eosinophils	"CD11b,CD193,CD123,CD125,CD15,SIGLEC8,CLC,GATA1,CEBPE,SEMG1,ALOX15,CCL23,PRSS41,PRSS33,THBS4,FOXI1"		Eosinophils
